Nome da Origem;Host ID;Host Name;Host MAC;Host Desc;Image Name;Image Path;Start Date;Start Time;End Date;End Time;Duration;Deploy/Capture;Tempo
ImagingLog_e05.csv;16;a45d362a9df5;a4:5d:36:2a:9d:f5;Created by FOG Reg on January 11, 2024, 11:23 am;DebRodrigo;Not Valid;15/01/2024;10:32:19;15/01/2024;10:34:38;2 minutes 19 seconds;Deploy;00:02:19
ImagingLog_e05.csv;18;a45d362aadca;a4:5d:36:2a:ad:ca;Created by FOG Reg on January 12, 2024, 11:46 am;DebRodrigo;Not Valid;15/01/2024;10:32:54;15/01/2024;10:34:38;1 minute 44 seconds;Deploy;00:01:44
ImagingLog_e06.csv;2;a45d362abd33;a4:5d:36:2a:bd:33;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;10:51:09;15/01/2024;10:52:47;1 minute 38 seconds;Deploy;00:01:38
ImagingLog_e06.csv;3;a45d362a91f6;a4:5d:36:2a:91:f6;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;10:50:48;15/01/2024;10:52:48;2 minutes ;Deploy;00:02:00
ImagingLog_e06.csv;4;a45d362aad8f;a4:5d:36:2a:ad:8f;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;15/01/2024;10:50:40;15/01/2024;10:52:46;2 minutes 6 seconds;Deploy;00:02:06
ImagingLog_e06.csv;5;a45d362a9db8;a4:5d:36:2a:9d:b8;Created by FOG Reg on January 11, 2024, 11:19 am;DebRodrigo;Not Valid;15/01/2024;10:50:45;15/01/2024;10:52:47;2 minutes 2 seconds;Deploy;00:02:02
ImagingLog_e06.csv;7;a45d362abd2b;a4:5d:36:2a:bd:2b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:50:17;15/01/2024;10:52:48;2 minutes 31 seconds;Deploy;00:02:31
ImagingLog_e06.csv;8;a45d362aed83;a4:5d:36:2a:ed:83;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:50:21;15/01/2024;10:52:48;2 minutes 27 seconds;Deploy;00:02:27
ImagingLog_e06.csv;9;fc15b4d90f77;fc:15:b4:d9:0f:77;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:50:19;15/01/2024;10:52:47;2 minutes 28 seconds;Deploy;00:02:28
ImagingLog_e06.csv;10;a45d362abd9d;a4:5d:36:2a:bd:9d;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;15/01/2024;10:50:24;15/01/2024;10:52:48;2 minutes 24 seconds;Deploy;00:02:24
