Created By;Host ID;Host Name;Host MAC;Host Desc;Image Name;Image Path;Start Date;Start Time;End Date;End Time;Duration;Deploy/Capture;Tempo
fog;27;a45d362a9143;a4:5d:36:2a:91:43;Created by FOG Reg on January 17, 2024, 10:04 am;DebRodrigo;Not Valid;22/01/2024;09:28:23;22/01/2024;09:29:51;1 minute 28 seconds;Deploy;00:01:28
fog;28;a45d362ada99;a4:5d:36:2a:da:99;Created by FOG Reg on January 17, 2024, 10:04 am;DebRodrigo;Not Valid;22/01/2024;09:28:24;22/01/2024;09:29:49;1 minute 25 seconds;Deploy;00:01:25
fog;29;a45d362aad1b;a4:5d:36:2a:ad:1b;Created by FOG Reg on January 17, 2024, 10:04 am;DebRodrigo;Not Valid;22/01/2024;09:28:22;22/01/2024;09:29:46;1 minute 24 seconds;Deploy;00:01:24
fog;30;a45d362abd32;a4:5d:36:2a:bd:32;Created by FOG Reg on January 17, 2024, 10:05 am;DebRodrigo;Not Valid;22/01/2024;09:28:16;22/01/2024;09:29:36;1 minute 20 seconds;Deploy;00:01:20
fog;31;a45d362abd2b;a4:5d:36:2a:bd:2b;Created by FOG Reg on January 17, 2024, 10:05 am;DebRodrigo;Not Valid;22/01/2024;09:28:32;22/01/2024;09:30:01;1 minute 29 seconds;Deploy;00:01:29
fog;32;a45d362a9db8;a4:5d:36:2a:9d:b8;Created by FOG Reg on January 17, 2024, 10:05 am;DebRodrigo;Not Valid;22/01/2024;09:28:24;22/01/2024;09:29:50;1 minute 26 seconds;Deploy;00:01:26
fog;19;a45d362a9df5;a4:5d:36:2a:9d:f5;Created by FOG Reg on January 17, 2024, 9:57 am;DebRodrigo;Not Valid;22/01/2024;09:31:31;22/01/2024;09:32:56;1 minute 25 seconds;Deploy;00:01:25
fog;20;a45d362aad8f;a4:5d:36:2a:ad:8f;Created by FOG Reg on January 17, 2024, 10:01 am;DebRodrigo;Not Valid;22/01/2024;09:31:33;22/01/2024;09:32:57;1 minute 24 seconds;Deploy;00:01:24
fog;21;a45d362a91f6;a4:5d:36:2a:91:f6;Created by FOG Reg on January 17, 2024, 10:01 am;DebRodrigo;Not Valid;22/01/2024;09:31:32;22/01/2024;09:32:58;1 minute 26 seconds;Deploy;00:01:26
fog;22;a45d362abd33;a4:5d:36:2a:bd:33;Created by FOG Reg on January 17, 2024, 10:02 am;DebRodrigo;Not Valid;22/01/2024;09:31:33;22/01/2024;09:33:00;1 minute 27 seconds;Deploy;00:01:27
